Time, Rain(mm), Latitude, 50.009, Longitude, -119.501,
CCS_1h2025033020, 0.000
CCS_1h2025033021, 0.000
CCS_1h2025033022, 0.000
CCS_1h2025033023, 0.000
CCS_1h2025033100, 0.000
CCS_1h2025033101, 0.000
CCS_1h2025033102, 0.000
CCS_1h2025033103, 0.000
CCS_1h2025033104, 0.000
CCS_1h2025033105, 0.000
CCS_1h2025033106, 0.000
CCS_1h2025033107, 0.000
CCS_1h2025033108, 0.000
CCS_1h2025033109, 0.000
CCS_1h2025033110, 0.000
CCS_1h2025033111, 1.000
CCS_1h2025033112, 1.000
CCS_1h2025033113, 1.000
CCS_1h2025033114, 0.000
CCS_1h2025033115, 0.000
CCS_1h2025033116, 0.000
CCS_1h2025033117, 0.000
CCS_1h2025033118, 2.000
CCS_1h2025033119, 1.000
CCS_1h2025033120, 0.000
CCS_1h2025033121, 0.000
CCS_1h2025033122, 0.000
CCS_1h2025033123, 1.000
CCS_1h2025040100, 0.000
CCS_1h2025040101, 0.000
CCS_1h2025040102, 0.000
CCS_1h2025040103, 0.000
CCS_1h2025040104, 0.000
CCS_1h2025040105, 0.000
CCS_1h2025040106, 0.000
CCS_1h2025040107, 0.000
CCS_1h2025040108, 0.000
CCS_1h2025040109, 0.000
CCS_1h2025040110, 0.000
CCS_1h2025040111, 0.000
CCS_1h2025040112, 0.000
CCS_1h2025040113, 0.000
CCS_1h2025040114, 0.000
CCS_1h2025040115, 0.000
CCS_1h2025040116, 0.000
CCS_1h2025040117, 0.000
CCS_1h2025040118, 0.000
CCS_1h2025040119, 0.000
CCS_1h2025040120, 0.000
CCS_1h2025040121, 0.000
CCS_1h2025040122, 0.000
CCS_1h2025040123, 0.000
CCS_1h2025040200, 0.000
CCS_1h2025040201, 0.000
CCS_1h2025040202, 0.000
CCS_1h2025040203, 0.000
CCS_1h2025040204, 0.000
CCS_1h2025040205, 0.000
CCS_1h2025040206, 0.000
CCS_1h2025040207, 0.000
CCS_1h2025040208, 0.000
CCS_1h2025040209, 0.000
CCS_1h2025040210, 12.000
CCS_1h2025040211, 1.000
CCS_1h2025040212, 0.000
CCS_1h2025040213, 0.000
CCS_1h2025040214, 0.000
CCS_1h2025040215, 0.000
CCS_1h2025040216, 0.000
CCS_1h2025040217, 0.000
CCS_1h2025040218, 0.000
CCS_1h2025040219, 0.000
CCS_1h2025040220, 0.000
CCS_1h2025040221, 0.000
CCS_1h2025040222, 0.000
CCS_1h2025040223, 0.000
